Título,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañías,Coproducción,Géneros,Premios,Presupuesto,Ingresos,Protagonistas
Jaula,https://www.filmaffinity.com/es/film251875.html,Sí,5.8,4808.0,2022-01-01,"['Elena Anaya', 'Pablo Molinero', 'Eva Tennear', 'Carlos Santos', 'Eva Llorach', 'Sonia Almarcha', 'Esther Acebo', 'Mona Martínez', 'Eloy Azorín']",['Ignacio Tatay'],"['Pokeepsie Films', 'Álex de la Iglesia', 'Carolina Bang', 'Sony Pictures España', 'Netflix']",[],"['Intriga', 'Thriller', 'Drama', 'Familia']",[],0.0,0.0,Elena Anaya
"Barcelona, noche de verano",https://www.filmaffinity.com/es/film725019.html,Sí,5.8,5000.0,2013-01-01,"['Miki Esparbé', 'Bárbara Santa-Cruz', 'Àlex Monner', 'Francesc Colomer', 'Claudia Vega', 'Jan Cornet', 'Joan Dausà', 'Mar del Hoyo', 'Laura Díaz', 'Sara Espígul', 'Luis Fernández', 'Marc García Coté', 'Miriam Planas']",['Dani de la Orden'],"['El Terrat', 'Sábado Películas', 'Cameo', 'Filmin']",[],"['Romance', 'Drama', 'Película de episodios', 'Drama romántico', 'Homosexualidad', 'Historias cruzadas']","['2013: Premios Feroz: Nominada a Mejor cartel', '2013: Premios Gaudí: Mejor Música Original. 3 nominaciones']",0.0,0.0,Miki Esparbé
"Torrente, el brazo tonto de la ley",https://www.filmaffinity.com/es/film334167.html,Sí,5.8,63268.0,1998-01-01,"['Santiago Segura', 'Javier Cámara', 'Neus Asensi', 'Chus Lampreave', 'Tony Leblanc', 'Julio Sanjuán', 'Jimmy Barnatan', 'Darío Paso', 'Nuria Carbonell', 'Daniel Monzón', 'Carlos Lucas', 'Santiago Barullo', 'Carlos Perea']",['Santiago Segura'],"['Cartel', 'Rocabruno']",[],"['Comedia', 'Policíaco', 'Película de culto']",['1998: Premios Goya: Mejor director novel y actor de reparto (Leblanc). 3 nominaciones'],0.0,0.0,Santiago Segura
Culpables,https://www.filmaffinity.com/es/film332855.html,Sí,5.8,104.0,1960-01-01,"['Anna-Maria Ferrero', 'Fernando Rey', 'Lina Rosales', 'Pastor Serrador', 'Jacques Sernas', 'Roberto Camardiel']",['Arturo Ruiz Castillo'],['Jorge Griñán'],[],"['Drama', 'Intriga', 'Teatro']",[],0.0,0.0,Anna-Maria Ferrero
La noche y el alba,https://www.filmaffinity.com/es/film564158.html,Sí,5.8,163.0,1958-01-01,"['Francisco Rabal', 'Zully Moreno', 'Rosa Arenas', 'Antonio Vilar', 'Rafael Bardem', 'María Asquerino', 'Manuel Alexandre', 'Félix Dafauce', 'Isabel de Pomés', 'José Luis López Vázquez']",['José María Forqué'],"['Radio Films S.A.E. S.A', 'Eurofilms']",[],"['Drama', 'Cine negro', 'Intriga', 'Thriller', 'Crimen']",[],0.0,0.0,Francisco Rabal
Un marido de ida y vuelta,https://www.filmaffinity.com/es/film336762.html,Sí,5.8,322.0,1957-01-01,"['Emma Penella', 'Fernando Fernán Gómez', 'Fernando Rey', 'José Luis López Vázquez', 'Mercedes Muñoz Sampedro', 'Antonio Riquelme']",['Luis Lucia'],['Guión Producciones Cinematográficas'],[],['Comedia'],[],0.0,0.0,Emma Penella
Con el viento,https://www.filmaffinity.com/es/film538046.html,Sí,5.8,369.0,2018-01-01,"['Mónica García', 'Concha Canal', 'Ana Fernández', 'Elena Martín', 'Xavier Martín', 'Paquita Pérez', 'Rakhal Herrero', 'Florencio Ortega', 'José Mari Martín', 'Jose Mari Crespo']",['Meritxell Colell'],"['Polar Star Films', 'Paraïso Productions', 'Habitación 1520 Producciones', 'Hellish Producciones']",['España-Francia-Argentina'],"['Drama', 'Familia']","['2018: Premios Gaudí: Nominada a mejor montaje', '2019: Premios Feroz. 1 nominación']",0.0,0.0,Mónica García
Lena,https://www.filmaffinity.com/es/film599780.html,Sí,5.8,694.0,2001-01-01,"['Marta Larralde', 'Manuel Manquiña', 'Roberto Álvarez', 'Luis Tosar', 'Vítor Norte', 'Luis Zahera', 'Antón Reixa', 'Iván Hermes', 'Carlos Kaniowsky']",['Gonzalo Tapia'],"['Alta Films', 'Tráfico de Ideas', 'Producciones La Iguana S.L', 'Portozás Visión S.L.', 'Take 2000']",['España-Portugal'],"['Drama', 'Adolescencia', 'Basado en hechos reales']",[],0.0,0.0,Marta Larralde
Las altas presiones,https://www.filmaffinity.com/es/film561487.html,Sí,5.8,702.0,2014-01-01,"['Andrés Gertrudix', 'Itsaso Arana', 'Diana Gómez', 'Juan Blanco', 'Marta Pazos', 'Hugo Torres', 'Xabier Deive', 'Fernando Epelde', 'Iván Marcos', 'Olalla Tesouro', 'Borja Fernández', 'Pablo Piñeiro', 'Bea Campos']",['Ángel Santos'],['Matriuska Producciones'],[],"['Drama', 'Cine dentro del cine', 'Amistad']","['2014: Festival de Sevilla: Premio Jurado Campus ""Las nueva Olas"" mejor película']",0.0,0.0,Andrés Gertrudix
Fènix 11·23,https://www.filmaffinity.com/es/film350810.html,Sí,5.8,1347.0,2011-01-01,"['Nil Cardoner', 'Rosa Gàmiz', 'Àlex Casanovas', 'Lluís Villanueva', 'Roberto Álamo', 'Ana Wagener', 'Pau Poch', 'Mireia Vilapuig', 'Pepo Blasco', 'Vicente Gil', 'Pep Tosar']",['Joel Joan'],"['Arriska Films', 'Benecé Produccions', 'Televisión de Galicia (TVG)']",[],"['Drama', 'Basado en hechos reales']",['2012: Premios Gaudí: 7 nominaciones incluyendo Mejor película'],0.0,0.0,Nil Cardoner
