Título,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañías,Coproducción,Géneros,Premios,Presupuesto,Ingresos,Protagonistas
D'Artacán y los tres Mosqueperros,https://www.filmaffinity.com/es/film627878.html,Sí,4.8,458.0,2021-01-01,['No se encontró información de reparto'],['Toni García'],"['Apolo Films', 'Cosmos-Maya']",[],"['Animación', 'Aventuras', 'Comedia', 'Infantil', 'Remake', 'Capa y espada', 'Perros/Lobos']","['2022: Premios Quirino: Nominada a mejor largometraje', '2022: Premios Quirino. 1 nominación']",0.0,0.0,No se encontró información de reparto
¡Ahí va otro recluta!,https://www.filmaffinity.com/es/film623640.html,Sí,4.8,462.0,1960-01-01,"['José Luis Ozores', 'Carmen Rodríguez', 'José Luis ""Kiko"" Carbonell', 'Manuel Zarzo', 'Pilar Cansino', 'Venancio Muro']",['Ramón Fernández'],['Aspa Producciones Cinematográficas S.A'],[],"['Comedia', 'Bélico', 'Ejército']",[],0.0,0.0,José Luis Ozores
Amor de hombre,https://www.filmaffinity.com/es/film597631.html,Sí,4.8,579.0,1997-01-01,"['Loles León', 'Andrea Occhipinti', 'Pedro Mari Sánchez', 'Armando del Río', 'Roberto Álvarez', 'Romá Sánchez', 'Jesús Cabrero', 'Sergio Otegui']",['Yolanda García Serrano'],"['Cuarteto Producciones Cinematográficas', 'Vértigo Films']",[],"['Comedia', 'Homosexualidad']",[],1000.0,0.0,Loles León
Fenómenas,https://www.filmaffinity.com/es/film104388.html,Sí,4.8,2090.0,2023-01-01,"['Belén Rueda', 'Gracia Olayo', 'Toni Acosta', 'Emilio Gutiérrez Caba', 'Iván Massagué', 'Miren Ibarguren', 'Óscar Ortuño', 'Lorena López', 'Antonio Pagudo']",['Carlos Therón'],"['Nadie es perfecto', 'Netflix']",[],"['Comedia', 'Comedia de terror', 'Sobrenatural', 'Años 90']",[],0.0,0.0,Belén Rueda
Amar,https://www.filmaffinity.com/es/film147555.html,Sí,4.8,2344.0,2017-01-01,"['María Pedraza', 'Pol Monen', 'Natalia Tena', 'Antonio Valero', 'Gustavo Salmerón', 'Greta Fernández', 'Nacho Fresneda', 'Sonia Almarcha', 'Daniel Ibañez', 'Juli Mira']",['Esteban Crespo'],"['Avalon P.C', 'Amar AIE', 'Filmeu', 'RTVE', 'Netflix']",[],"['Romance', 'Drama', 'Drama romántico', 'Adolescencia']","['2017: Premios Goya: Nominada a Mejor actor revelación (Pol Monen)', '2017: Festival de Málaga: Sección Oficial']",0.0,0.0,María Pedraza
Eskalofrío,https://www.filmaffinity.com/es/film922918.html,Sí,4.8,2510.0,2008-01-01,"['Junio Valverde', 'Francesc Orella', 'Mar Sodupe', 'Jimmy Barnatan', 'Blanca Suárez', 'Paul Berrondo', 'Roberto Enríquez', 'Josep Maria Domènech', 'Andrés Herrera', 'Juli Mira', 'Anna Ycobalzeta', 'Berta Ros']",['Isidro Ortiz'],"['Fausto Producciones', 'Telecinco Cinema']",[],"['Terror', 'Thriller']",['2008: 2 Premios Gaudí: Mejor sonido y efectos visuales'],0.0,0.0,Junio Valverde
¡Se armó el belén!,https://www.filmaffinity.com/es/film270285.html,Sí,4.8,2597.0,1970-01-01,"['Paco Martínez Soria', 'Germán Cobos', 'Irán Eory', 'Julia Caba Alba', 'Rafael López Somoza', 'Javier Loyola', 'Erasmo Pascual', 'Manuel Toscano', 'Ángel de Andrés', 'Marisa Porcel']",['José Luis Sáenz de Heredia'],['Hidalgo Producciones Cinematográficas'],[],"['Comedia', 'Navidad']",[],0.0,0.0,Paco Martínez Soria
Las leyes de la termodinámica,https://www.filmaffinity.com/es/film310463.html,Sí,4.8,2645.0,2018-01-01,"['Vito Sanz', 'Berta Vázquez', 'Chino Darín', 'Vicky Luengo', 'Irene Escolar', 'Josep Maria Pou', 'Andrea Ros', 'Juan Betancourt', 'Carlos Olalla']",['Mateo Gil'],"['Zeta Cinema', 'Atresmedia Cine', 'On Cinema 2017', 'Televisión de Galicia (TVG)']",[],"['Romance', 'Comedia', 'Comedia romántica']",['2018: Festival de Málaga: Sección oficial Largometrajes a concurso'],4380014.0,0.0,Vito Sanz
Ausentes,https://www.filmaffinity.com/es/film983978.html,Sí,4.8,3311.0,2005-01-01,"['Ariadna Gil', 'Jordi Mollà', 'Nacho Pérez', 'Omar Muñoz', 'Mar Sodupe', 'Àlex Brendemühl']",['Daniel Calparsoro'],"['Star Line TV Productions', 'Estudios Picasso']",[],"['Thriller', 'Thriller psicológico']",[],0.0,0.0,Ariadna Gil
Muere una mujer,https://www.filmaffinity.com/es/film239190.html,Sí,4.8,194.0,1964-01-01,"['Alberto Closas', 'Gisia Paradis', 'Tomás Blanco', 'Mara Goyanes', 'José María Oviés', 'Roberto Rey', 'Lluís Torner', 'Francisco Guijar', 'Juan Cortés']",['Mario Camus'],['Moncayo Films'],[],"['Intriga', 'Cine negro']",[],0.0,0.0,Alberto Closas
Sonámbulos,https://www.filmaffinity.com/es/film608463.html,Sí,4.8,243.0,1978-01-01,"['Ana Belén', 'Norman Briski', 'María Rosa Salgado', 'Lola Gaos', 'Laly Soldevila', 'Enriqueta Carballeira', 'José Manuel Cervino', 'Félix Rotaeta']",['Manuel Gutiérrez Aragón'],['Profilmes'],[],['Drama'],['1978: Festival de San Sebastián: Mejor director'],0.0,0.0,Ana Belén
"Carmen, la de Ronda",https://www.filmaffinity.com/es/film604853.html,Sí,4.8,259.0,1959-01-01,"['Sara Montiel', 'Jorge Mistral', 'Maurice Ronet', 'Germán Cobos', 'José Marco Davó', 'Félix Fernández', 'María de los Ángeles Hortelano', 'Amedeo Nazzari', 'Manuel Guitián', 'Santiago Rivero', 'Antonio Cintado', 'Agustín González']",['Tulio Demicheli'],['Producciones Benito Perojo'],[],"['Drama', 'Musical', 'Siglo XIX']",[],0.0,0.0,Sara Montiel
Shacky Carmine,https://www.filmaffinity.com/es/film107222.html,Sí,4.8,395.0,1999-01-01,"['Fernando Cayo', 'Andrés Gertrudix', 'Rebeca Jiménez', 'Pau Colera', 'Manolo Caro', 'Nathalie Seseña', 'Mapi Galán', 'Patxi Freytez', 'Marta Belenguer']",['Chema de la Peña'],['Fernando Colomo P.C'],[],"['Drama', 'Drogas', 'Música']",[],0.0,200188.0,Fernando Cayo
Jefe,https://www.filmaffinity.com/es/film685380.html,Sí,4.8,1415.0,2018-01-01,"['Luis Callejo', 'Juana Acosta', ""Carlo D'Ursi"", 'Josean Bengoetxea', 'Bárbara Santa-Cruz', 'Dalila Carmo', 'Maika Barroso', 'Adam Jezierski', 'Sergio Quintana', 'Teo Planell', 'Diana Lázaro']",['Sergio Barrejón'],"['Potenza Producciones', 'Bowfinger International Pictures', 'Fado Filmes']",['España-Portugal'],"['Comedia', 'Comedia negra', 'Trabajo/empleo']",['2018: Premios Goya: Nominada a Mejor guión adaptado'],0.0,0.0,Luis Callejo
La niña de la comunión,https://www.filmaffinity.com/es/film690348.html,Sí,4.8,1920.0,2022-01-01,"['Carla Campra', 'Aina Quiñones', 'Marc Soler', 'Carlos Oviedo', 'Olimpia Roch', 'Maria Molins', 'Xavi Lite', 'Anna Alarcón', 'Victor Solé', 'Sara Roch', 'Daniel Rived', 'Jacob Torres', 'Manel Barceló']",['Víctor García'],"['Ikiru Films', 'Atresmedia Cine', 'Rebelión Terrestre', 'La Terraza Films']",[],"['Terror', 'Muñecos', 'Años 80']",['2022: Festival de Sitges: Sección oficial (Fuera de competición)'],0.0,0.0,Carla Campra
"Te quiero, imbécil",https://www.filmaffinity.com/es/film297011.html,Sí,4.8,6187.0,2020-01-01,"['Quim Gutiérrez', 'Natalia Tena', 'Ernesto Alterio', 'Alfonso Bassave', 'Alba Ribas', 'Patricia Vico', 'Francesc Albiol', 'Núria Valls', 'Vanessa Castro', 'David Lifschitz', 'Garazi Beloki', 'José García Ruiz', 'Jaume Felip']",['Laura Mañá'],"['Yo Hombre', 'Minoria Absoluta', 'Brutal Media', 'Lastor Media']",[],"['Romance', 'Comedia', 'Comedia romántica']",['2020: Premios Gaudí: Nominada a mejor actor secundario (Ernesto Alterio)'],0.0,396640.0,Quim Gutiérrez
La princesa de los Ursinos,https://www.filmaffinity.com/es/film213276.html,Sí,4.8,117.0,1947-01-01,"['Ana Mariscal', 'Roberto Rey', 'Fernando Rey', 'Juan Espantaleón', 'José María Lado', 'José Isbert', 'María Isbert', 'Julio Rey de las Heras', 'Mariano Asquerino', 'Manuel Dicenta', 'Eduardo Fajardo']",['Luis Lucia'],['CIFESA'],[],"['Drama', 'Melodrama', 'Histórico', 'Siglo XVIII']",[],0.0,0.0,Ana Mariscal
La novia de Lázaro,https://www.filmaffinity.com/es/film362669.html,Sí,4.8,136.0,2002-01-01,['No se encontró información de reparto'],['Fernando Merinero'],"['Vendaval Producciones', 'Amanda Films']",[],"['Drama', 'Inmigración', 'Drogas']",['2002: Festival de Málaga: Mejor actriz (Claudia Rojas)'],0.0,0.0,No se encontró información de reparto
El mariscal del infierno,https://www.filmaffinity.com/es/film954534.html,Sí,4.8,141.0,1974-01-01,"['Paul Naschy', 'Graciela Nilson', 'Guillermo Bredeston', 'Norma Sebre', 'Mariano Vidal Molina', 'Eduardo Calvo', 'Fernando Rubio', 'Luis Induni', 'Carmen Carro', 'Germán Kraus', 'Sandra Mozarowsky']",['León Klimovsky'],"['Profilmes', 'Orbe Producciones']",['España-Argentina'],"['Terror', 'Aventuras', 'Brujería', 'Espada y brujería']",[],0.0,0.0,Paul Naschy
Jostissi de Carreró,https://www.filmaffinity.com/es/film751730.html,Sí,4.8,145.0,2020-01-01,['No se encontró información de reparto'],['Pedro Miralles'],"['The Hellfire Group', 'Okami Studio']",[],"['Acción', 'Comedia', 'Fantástico', 'Ciencia ficción', 'Crimen']",[],0.0,0.0,No se encontró información de reparto
Nómadas,https://www.filmaffinity.com/es/film755699.html,Sí,4.8,168.0,2001-01-01,['No se encontró información de reparto'],['Gonzalo López-Gallego'],"['Cartel', 'C.L.G. Media P.C. S.L']",[],['Drama'],['2001: Festival de Málaga: Premio Especial del Jurado & Mejor fotografía'],0.0,0.0,No se encontró información de reparto
Enterrados,https://www.filmaffinity.com/es/film665988.html,Sí,4.8,188.0,2018-01-01,"['Joaquín Furriel', 'Candela Peña', 'Paula Prendes', 'José Antonio Lobato', 'Manuel Pizarro', 'Juan Mandli', 'Sandro Cordero', 'Luis Muñiz', 'Pablo Penedo', 'Alberto Rodríguez']",['Luis Trapiello'],"['El Médano Producciones S.L', 'Lince Films', 'La Taguara Fílmica', 'Motoneta Cine', 'ICAA']",['España-Argentina-Venezuela'],"['Drama', 'Supervivencia']",[],0.0,0.0,Joaquín Furriel
Acompáñame,https://www.filmaffinity.com/es/film992614.html,Sí,4.8,240.0,1966-01-01,"['Rocío Durcal', 'Enrique Guzmán', 'Amalia De Isaura', 'Jesús Tordesillas', 'Francisco Cano', 'Carlos Casaravilla', 'Rafael Guerrero', 'Laly Soldevila', 'José María Caffarel', 'Luis Morris', 'Carlos Riera', 'María Isbert', 'Erasmo Pascual']",['Luis César Amadori'],['Cámara P.C'],[],"['Comedia', 'Musical', 'Romance']",[],0.0,0.0,Rocío Durcal
Una gota de sangre para morir amando,https://www.filmaffinity.com/es/film365457.html,Sí,4.8,528.0,1973-01-01,"['Christopher Mitchum', 'Sue Lyon', 'Jean Sorel', 'Ramón Pons', 'Charly Bravo', 'Alfredo Alba', 'Antonio del Real', 'David Carpenter', 'Ramón Tejela', 'Fernando Hilbeck', 'Eduardo Calvo', 'Fernando Sánchez Polack']",['Eloy de la Iglesia'],"['Intercontinental Productions', 'José Frade P.C.']",[],"['Thriller', 'Drama', 'Intriga', 'Crimen']",[],0.0,0.0,Christopher Mitchum
Cachito,https://www.filmaffinity.com/es/film779377.html,Sí,4.8,1432.0,1996-01-01,"['Jorge Perugorría', 'Amara Carmona', 'Sancho Gracia', 'Elvira Mínguez', 'Aitor Mazo', 'Sara Mora', 'Pilar Bardem', 'Luis Cuenca', 'Lola Lemos']",['Enrique Urbizu'],"['Origen PC', 'Entertainment One']",[],"['Aventuras', 'Drama', 'Road Movie', 'Crimen']",[],0.0,0.0,Jorge Perugorría
Musa,https://www.filmaffinity.com/es/film212911.html,Sí,4.8,2765.0,2017-01-01,"['Elliot Cowan', 'Franka Potente', 'Ana Ularu', 'Leonor Watling', 'Christopher Lloyd', 'Manuela Vellés', 'Joanne Whalley', 'Carlos Lasarte', ""Cally O'Connell"", 'Sam Hardy', 'Stella McCusker', 'Yennis Cheung', 'Eve Maher']",['Jaume Balagueró'],"['Filmax', 'Fantastic Films', 'Frakas Productions', 'Castelao Productions']",['España-Irlanda-Francia-Bélgica'],"['Terror', 'Sobrenatural']","['2017: Festival de Sitges: Sección oficial largometrajes (Fuera de concurso)', '2017: Premios Gaudí: Nominada a Mejores efectos visuales']",0.0,0.0,Elliot Cowan
La niebla y la doncella,https://www.filmaffinity.com/es/film689705.html,Sí,4.8,3935.0,2017-01-01,"['Quim Gutiérrez', 'Verónica Echegui', 'Aura Garrido', 'Roberto Álamo', 'Marián Álvarez', 'Paola Bontempi', 'Sanny Van Heteren', 'Isak Férriz', 'Cristóbal Pinto', 'Santi López', 'Quique Medina', 'Beneharo Hernández', 'Jorge Kent', 'Elena Di Felice Benito', 'Fernando Navas', 'Adrián Galván']",['Andrés Koppel'],"['Atresmedia Cine', 'Hernández y Fernández P.C', 'Tornasol Films']",[],"['Thriller', 'Intriga', 'Crimen']",['2017: Festival de Málaga: Sección Oficial Largometrajes a Concurso'],0.0,0.0,Quim Gutiérrez
GAL,https://www.filmaffinity.com/es/film430050.html,Sí,4.8,4947.0,2006-01-01,"['Natalia Verbeke', 'Jordi Mollà', 'José García', 'Ana Álvarez', 'Mercè Llorens', 'Jordi Rebellón', 'José Ángel Egido', 'Mar Regueras', 'Bernard Le Coq', 'Blanca Marsillach']",['Miguel Courtois'],"['Mundo Ficción', 'Mai Juin Productions']",['España-Francia'],"['Acción', 'Drama', 'Terrorismo', 'Basado en hechos reales', 'ETA']",[],0.0,0.0,Natalia Verbeke
Estigma,https://www.filmaffinity.com/es/film492527.html,Sí,4.8,106.0,1980-01-01,"['Christian Borromeo', 'Alexandra Bastedo', 'Emilio Gutiérrez Caba', 'Helga Liné', 'Irene Gutiérrez Caba', 'Berta Singerman', 'José María Caffarel', 'Craig Hill', 'Massimo Serato']",['José Ramón Larraz'],"['Producciones Balcázar S.A', 'Yantra Cinematografica']",['España-Italia'],"['Terror', 'Sobrenatural']",[],0.0,0.0,Christian Borromeo
Los cuatro robinsones,https://www.filmaffinity.com/es/film990742.html,Sí,4.8,151.0,1939-01-01,['No se encontró información de reparto'],['Eduardo García Maroto'],['CIFESA'],[],['Comedia'],[],0.0,0.0,No se encontró información de reparto
Amigos hasta la muerte,https://www.filmaffinity.com/es/film648858.html,Sí,4.8,198.0,2023-01-01,"['Mauricio Ochmann', 'Marta Hazas', 'Javier Veiga', 'Luna Gallego', 'Nacho Nugo', 'Óscar Allo', 'Xosé A. Touriñán', 'David Amor', 'Ledicia Sola', 'Xoel López', 'Fele Martínez', 'Mela Casal']",['Javier Veiga'],"['MediaLimón', 'Onirica Films', 'Undodez']",[],"['Comedia', 'Drama', 'Amistad']","['', '2023: Festival de cine internacional de Alicante. 2 premios.']",0.0,0.0,Mauricio Ochmann
Una pareja perfecta,https://www.filmaffinity.com/es/film744639.html,Sí,4.8,252.0,1997-01-01,"['Antonio Resines', 'José Sazatornil', 'Kiti Mánver', 'Mabel Lozano', 'Chus Lampreave', 'Luis Ciges', 'Ramón Barea', 'Pedro Mari Sánchez']",['Francesc Betriú'],['Lolafilms'],[],"['Comedia', 'Amistad']",['1998: Festival de Málaga: Mejor actriz (Kiti Manver)'],0.0,0.0,Antonio Resines
Chatarra,https://www.filmaffinity.com/es/film868332.html,Sí,4.8,262.0,1991-01-01,"['Carmen Maura', 'Mario Gas', 'Rosario Flores', 'Àlex Casanovas', 'Marieta Orozco', 'Santi Ricart', 'Pere Ponce', 'María Reniu', 'Walter Vidarte']",['Félix Rotaeta'],"['Avanti Films S.A', 'Sabre TV']",[],"['Intriga', 'Drama', 'Prostitución']",['1991: Festival de Venecia: Nominada al León de Oro'],0.0,0.0,Carmen Maura
Fuera de juego,https://www.filmaffinity.com/es/film304434.html,Sí,4.8,435.0,1991-01-01,"['José Luis López Vázquez', 'Fernando Fernán Gómez', 'María Asquerino', 'Luis Escobar', 'Gabino Diego', 'Tomás Zori', 'Alfonso del Real', 'Manuel Alexandre', 'Eulàlia Ramon', 'Tina Sáinz', 'Alicia Altabella', 'Elisenda Ribas', 'Antonio Gamero', 'Juan José Otegui', 'Alberto Fernández', 'Ángel Terrón']",['Fernando Fernán Gómez'],"['Lotus Films', 'RTVE']",[],"['Comedia', 'Deporte', 'Fútbol']",[],0.0,0.0,José Luis López Vázquez
Amor en polvo,https://www.filmaffinity.com/es/film978575.html,Sí,4.8,984.0,2019-01-01,"['Enrique Arce', 'Macarena Gómez', 'Luis Miguel Seguí', 'Lorena López', 'Paco Alegre', 'Diego Braguinsky', 'Ainhoa Cebriá', 'Marisa Merino', 'Xavi Castillo']",['Suso Imbernón'],"['Cosabona Films', 'Cilantro Films', 'Juanjo Moscardó Rius', 'Nadie es perfecto']",[],"['Comedia', 'Comedia romántica']",['2020: Festival de Alicante: Mejor actriz (Lorena López) y mención del jurado'],0.0,0.0,Enrique Arce
Sangre de mayo,https://www.filmaffinity.com/es/film419219.html,Sí,4.8,1164.0,2008-01-01,"['Quim Gutiérrez', 'Paula Echevarría', 'Manuel Galiana', 'Enrique Villén', 'Fernando Guillén Cuervo', 'Tina Sáinz', 'Natalia Millán', 'Carlos Larrañaga', 'Lucía Jiménez', 'Miguel Rellán', 'Manuel Tejada', 'Francisco Algora', 'Jorge Roelas']",['José Luis Garci'],"['Nickel Odeon', 'Telemadrid']",[],"['Drama', 'Siglo XIX', 'Guerra de la Independencia Española']",['2008: Premios Goya: 7 nominaciones incluyendo mejor fotografía'],16300000.0,2800000.0,Quim Gutiérrez
Si te dicen que caí,https://www.filmaffinity.com/es/film729814.html,Sí,4.8,1241.0,1989-01-01,"['Victoria Abril', 'Jorge Sanz', 'Antonio Banderas', 'Javier Gurruchaga', 'Guillermo Montesinos', 'Juan Diego Botto', 'María Botto', 'Lluís Homar', 'Aitor Merino', 'Joan Miralles', 'Ferran Rañé', 'Carlos Tristancho', 'Mercé Sans']",['Vicente Aranda'],['Ideas y Producciones Cinematográficas (IPC)'],[],"['Drama', 'Años 70', 'Posguerra española', 'Pobreza', 'Erótico']",['1989: Premios Goya: Mejor actor (Jorge Sanz). 7 nominaciones'],0.0,700183.0,Victoria Abril
El día de los enamorados,https://www.filmaffinity.com/es/film128264.html,Sí,4.8,1359.0,1959-01-01,"['Tony Leblanc', 'George Rigaud', 'Ángel Aranda', 'Katia Loritz', 'Concha Velasco', 'Mabel Karr', 'Manuel Monroy', 'María Mahor', 'Antonio Casal', 'José María Tasso']",['Fernando Palacios'],['AS Films'],[],"['Comedia', 'Romance', 'Comedia romántica', 'Película de episodios']",[],0.0,0.0,Tony Leblanc
Los años desnudos. Clasificada S,https://www.filmaffinity.com/es/film146271.html,Sí,4.8,1819.0,2008-01-01,"['Candela Peña', 'Goya Toledo', 'Mar Flores', 'Antonio de la Torre', 'Luis Zahera', 'Jorge Calvo', 'José Luis Torrijo', 'Julio Vélez', 'Malena Gutiérrez', 'Helena Martín', 'Jorge Monje', 'Carmen Losa', 'Juan Viadas']",['Félix Sabroso'],"['Litte Giraffe Producciones', 'Antena 3 Films']",[],"['Comedia', 'Drama', 'Cine dentro del cine', 'Años 70']",[],0.0,0.0,Candela Peña
¡Semos peligrosos! (uséase Makinavaja 2),https://www.filmaffinity.com/es/film911068.html,Sí,4.8,2588.0,1993-01-01,"['Andrés Pajares', 'Jesús Bonilla', 'Joan Potau', 'Rafael Alonso', 'Pedro Reyes', 'Llàtzer Escarceller', 'Mario Pardo']",['Carlos Suárez'],['Tesauro'],[],"['Comedia', 'Secuela', 'Cómic', 'Cine quinqui']",[],0.0,782897.0,Andrés Pajares
Lo mejor de Eva,https://www.filmaffinity.com/es/film556692.html,Sí,4.8,2734.0,2012-01-01,"['Leonor Watling', 'Miguel Ángel Silvestre', 'Nathalie Poza', 'Helio Pedregal', 'Josean Bengoetxea', 'Adriana Ugarte', 'José Luis Torrijo', 'Isabel Mata', 'Polina Kiryanova']",['Mariano Barroso'],"['Marvarrosa Media S.L', 'Telecinco Cinema']",[],"['Thriller', 'Drama', 'Prostitución', 'Drama psicológico', 'Erótico']",[],0.0,0.0,Leonor Watling
Alhucemas,https://www.filmaffinity.com/es/film348827.html,Sí,4.8,122.0,1948-01-01,"['Julio Peña', 'Sara Montiel', 'Nani Fernández', 'José Bódalo', 'Tony Leblanc', 'Adriano Rimoldi', 'Rafael Calvo', 'Conrado San Martín', 'Rafael Romero Marchent', 'Francisco Rabal', 'Carmen Cobeña']",['José López Rubio'],['Peña Films'],[],"['Drama', 'Bélico', 'Histórico']",[],0.0,0.0,Julio Peña
"Shevernatze, una epopeya marcha atrás",https://www.filmaffinity.com/es/film335234.html,Sí,4.8,134.0,2007-01-01,"['Jesús Noguero', 'Saturnino García', 'Melani Olivares', 'Roberto Álamo', 'José Navar', 'Eduardo Gómez']",['Pablo Palazón'],['No se encontró información de compañías'],[],['Comedia'],[],0.0,0.0,Jesús Noguero
Varietés,https://www.filmaffinity.com/es/film753509.html,Sí,4.8,227.0,1971-01-01,"['Sara Montiel', 'Vicente Parra', 'Chris Avram', 'Trini Alonso', 'José María Mompín', 'Antonio Ferrandis', 'Emilio Laguna']",['Juan Antonio Bardem'],"['Copercines Cooperativa Cinematográfica', 'Exclusivas Floralva Producción', 'D.C. Films']",[],"['Drama', 'Musical', 'Melodrama', 'Teatro']",[],0.0,0.0,Sara Montiel
Lejos del mar,https://www.filmaffinity.com/es/film302795.html,Sí,4.8,1227.0,2015-01-01,"['Eduard Fernández', 'Elena Anaya', 'José Luis García Pérez', 'Ignacio Mateos', 'Susi Sánchez', 'Juan Motilla', 'Teresa Arbolí', 'Adrián Hernández', 'Olivia Delcán', 'Martxelo Rubio', 'Camino Texeira', 'Verónica Moral', 'Maika Barroso', 'Manuel Tallafé', 'Eva Almaya']",['Imanol Uribe'],"['Suroeste Films', 'Maestranza Films']",[],"['Drama', 'Romance', 'Terrorismo', 'ETA']",[],0.0,0.0,Eduard Fernández
El sexo de los ángeles,https://www.filmaffinity.com/es/film988817.html,Sí,4.8,1585.0,2011-01-01,"['Astrid Bergès-Frisbey', 'Álvaro Cervantes', 'Llorenç González', 'Sonia Méndez', 'Lluïsa Castell', 'Julieta Marocco', 'Marc Pociello', 'Marc García Coté', 'Richard Farré', 'David Verdaguer']",['Xavier Villaverde'],"['Continental', 'Dream Team Concept', 'CCFBR']",['España-Brasil'],"['Drama', 'Romance', 'Homosexualidad']",['2012: Festival de Málaga: Mejor fotografía y actor de reparto (Álvaro Cervantes)'],0.0,0.0,Astrid Bergès-Frisbey
Autómata,https://www.filmaffinity.com/es/film545095.html,Sí,4.8,6713.0,2014-01-01,"['Antonio Banderas', 'Birgitte Hjort Sørensen', 'Melanie Griffith', 'Dylan McDermott', 'Robert Forster', 'Tim McInnerny', 'Andy Nyman', 'David Ryall', 'Andrew Tieman']",['Gabe Ibáñez'],"['Green Moon', 'Nu Boyana Viburno']",['España-Francia'],"['Ciencia ficción', 'Robots', 'Distopía']","['2014: Premios Goya: 4 nominaciones incluyendo Mejor fotografía', '2014: Festival de San Sebastián: Sección oficial de largometrajes']",7000000.0,6237990.0,Antonio Banderas
La casa de las Chivas,https://www.filmaffinity.com/es/film220923.html,Sí,4.8,133.0,1972-01-01,"['Simón Andreu', 'Charo Soriano', 'Ricardo Merino', 'María Kosty', 'Pedro Mari Sánchez', 'Rafael Hernández', 'José Canalejas', 'Simón Arriaga', 'Adriano Domínguez', 'Antonio Casas']",['León Klimovsky'],['Galaxia Films'],[],"['Drama', 'Guerra Civil Española']",[],0.0,0.0,Simón Andreu
Las dos y media... y veneno,https://www.filmaffinity.com/es/film529982.html,Sí,4.8,273.0,1959-01-01,"['José Luis Ozores', 'Antonio Ozores', 'Elisa Montés', 'Fernando Rey', 'Teresa del Río', 'Fernando Delgado', 'Félix Fernández']",['Mariano Ozores'],['Cinematografía Hispánica'],[],['Comedia'],[],0.0,0.0,José Luis Ozores
Soldadito español,https://www.filmaffinity.com/es/film898480.html,Sí,4.8,894.0,1988-01-01,"['Maribel Verdú', 'Francisco Bas', 'Juan Luis Galiardo', 'María Garralón', 'Luis Escobar', 'Miguel Rellán', 'María Luisa San José', 'Félix Rotaeta', 'Amparo Baró', 'José Luis López Vázquez', 'Marisa Porcel']",['Antonio Giménez Rico'],"['RTVE', 'Penélope P.C']",[],"['Comedia', 'Drama', 'Ejército']",[],0.0,0.0,Maribel Verdú
Animales sin collar,https://www.filmaffinity.com/es/film663671.html,Sí,4.8,1514.0,2018-01-01,"['Natalia de Molina', 'Daniel Grao', 'Natalia Mateo', 'Borja Luna', 'Mariana Cordero', 'Beatriz Arjona', 'Mario Tardón', 'Ignacio Mateos']",['Jota Linares'],"['La Canica Films', 'Palomar', 'Netflix España', 'Movistar Plus+', 'Audiovisual Aval SGR', 'ICAA']",['España-Italia'],['Thriller'],['2018: Premios Feroz: Nominada a Mejor actor de reparto (Ignacio Mateos)'],0.0,0.0,Natalia de Molina
La pasajera,https://www.filmaffinity.com/es/film848765.html,Sí,4.8,1525.0,2021-01-01,"['Ramiro Blas', 'Cecilia Suárez', 'Paula Gallego', 'Cristina Alcázar', 'Yao Yao']",['Raúl Cerezo'],"['Persons Films', 'La Dalia Films', 'S.G. Producciones Cinematograficas', 'Eye Slice Pictures']",[],"['Terror', 'Ciencia ficción', 'Comedia', 'Comedia de terror', 'Road Movie', 'Monstruos', 'Extraterrestres']",[],0.0,0.0,Ramiro Blas
Teresa: el cuerpo de Cristo,https://www.filmaffinity.com/es/film243232.html,Sí,4.8,1858.0,2007-01-01,"['Paz Vega', 'Leonor Watling', 'Geraldine Chaplin', 'José Luis Gómez', 'Eusebio Poncela', 'Álvaro de Luna', 'Paula Errando', 'Ángel de Andrés López', 'Amparo Valle', 'Andrés Gertrudix', 'Javier Mejía', 'Francesc Garrido', 'Manuel Morón']",['Ray Loriga'],"['Future Films', 'Artedis', 'Lolafilms']",['España-Reino'],"['Drama', 'Religión', 'Biográfico']","['2007: Festival de Montreal: Mejor contribución artística', '', '']",10000000.0,0.0,Paz Vega
La gran vida,https://www.filmaffinity.com/es/film185672.html,Sí,4.8,2839.0,2000-01-01,"['Salma Hayek', 'Carmelo Gómez', 'Tito Valverde', 'Alicia Agut', 'Carlos Bardem', 'Pilar López de Ayala', 'Miguel Ayones', 'Diana Palazón']",['Antonio Cuadri'],['Bocaboca Producciones'],[],"['Comedia', 'Romance', 'Comedia romántica']",[],0.0,0.0,Salma Hayek
Venus,https://www.filmaffinity.com/es/film744153.html,Sí,4.8,5303.0,2022-01-01,"['Ester Expósito', 'Inés Fernández', 'Ángela Cremonte', 'Magüi Mira', 'Fernando Valdivieso', 'Federico Aguado', 'Alejandra Meco', 'Pedro Bachura', 'Aten Soria', 'María José Sarrate', 'Fran Boira']",['Jaume Balagueró'],"['Pokeepsie Films', 'The Fear Collection', 'Sony Pictures España']",[],"['Terror', 'Thriller', 'Sobrenatural', 'Casas encantadas', 'Crimen', 'Gore']","['2022: Festival de Toronto: Sección oficial (Locura de medianoche)', '2022: Festival de Sitges: Sección oficial (Inauguración)']",0.0,0.0,Ester Expósito
