Actor,Peliculas,Sexo
Luis Hostalot,"['¿Qué he hecho yo para merecer esto!', 'Werther', 'Coto de caza', 'Pau y su hermano', 'Culpa', 'Bandera negra', 'Las manos vacías', 'Un negro con un saxo', 'Clandestinos', 'La rusa', 'Manolete', 'Haz de tu vida una obra de arte']",Hombre
Luis Hurtado,['El beso de Judas'],Hombre
Luis Iglesia,['La promesa'],Hombre
Luis Induni,"['El indulto', 'Los culpables', 'El cerco', 'Cita imposible', 'Jandro', '¿Quién grita venganza?', 'Juventud a la intemperie', 'Garringo', 'El hombre que mató a Billy el Niño', 'Las crueles', 'La cuarta ventana', 'Brandy', 'Los pianos mecánicos', 'Las garras de Lorelei', 'Exorcismo', 'Dr. Jekyll y el Hombre Lobo', 'El mariscal del infierno', 'La maldición de la bestia', 'Tatuaje, primera aventura de Pepe Carvalho', 'Abre tu fosa amigo... llega Sabata', 'Botón de ancla', 'El pequeño ruiseñor', 'El Zorro justiciero', 'Un beso en el puerto']",Hombre
Luis Iriondo,"['El pico', 'Otra vuelta de tuerca', 'Saïd (Said)', 'Companys, proceso a Cataluña']",Hombre
Luis Larrodera,['Torrente 3: El protector'],Hombre
Luis Lorenzo,"['Es peligroso casarse a los 60', '¡Vaya par de gemelos!', 'Hundra', 'El liguero mágico', 'Un rolls para Hipólito', 'Loca por el circo', 'El erótico enmascarado', 'El cura ya tiene hijo', 'Los autonómicos', 'El pan debajo del brazo', 'Préstame tu mujer', 'Arachnid']",Hombre
Luis Lucena,['Españolear'],Hombre
Luis Luque,"['Sexo fácil, películas tristes', 'Despido procedente']",Hombre
Luis Lázaro,['Ekipo Ja'],Hombre
Luis Machín,['Vidas privadas'],Hombre
Luis Maluenda,['Licántropo: El asesino de la luna llena'],Hombre
Luis Marco,"['Transeúntes', 'La vida empieza hoy', 'Ali', '23-F: La película', 'Mi casa es tu casa', 'Gimlet', 'Asmodexia']",Hombre
Luis Mariano,"['Aventuras del barbero de Sevilla', 'Violetas imperiales']",Hombre
Luis María Valtuille,['Las aventuras de Zipi y Zape'],Hombre
Luis Marín,"['El extraño viaje', 'La busca', 'Los golfos', 'El Lute: Camina o revienta', 'Las salvajes en Puente San Gil', 'Con el viento solano', 'Posición avanzada', 'Siempre hay un camino a la derecha', 'Me siento extraña', 'Cuando los niños vienen de Marsella']",Hombre
Luis Mateo Díez,['El filandón'],Hombre
Luis Merlo,"['Hay que deshacer la casa', '¡Por fin solos!']",Hombre
Luis Mesonero,"['Intacto', 'Ramírez']",Hombre
Luis Miguel Calvo,['Belmonte'],Hombre
Luis Miguel Cintra,"['Pasos de baile', 'La espalda de Dios']",Hombre
Luis Miguel Cáceres,['Nasciturus: El que va a nacer'],Hombre
Luis Miguel Madrid,['Los ilusos'],Hombre
Luis Miguel Seguí,"['Un mundo normal', 'Del lado del verano', 'Amor en polvo']",Hombre
Luis Moreno,['Saeta del ruiseñor'],Hombre
Luis Morris,"['Don Quijote cabalga de nuevo', 'Tres de la Cruz Roja', 'Molokai, la isla maldita', 'Acompáñame', 'Cristina Guzmán', 'Tengo 17 años', 'Cuidado con las señoras']",Hombre
Luis Moscatelli,['El pescador de coplas'],Hombre
Luis Mottola,"['Es por tu bien', 'Legionario']",Hombre
Luis Muñiz,['Enterrados'],Hombre
Luis Olmos,['Manuel y Clemente'],Hombre
Luis Orduña,['Cañas y barro'],Hombre
Luis Peña,"['Calle Mayor', 'Surcos', 'La prima Angélica', 'A hierro muere', 'A tiro limpio', 'Amanecer en Puerta Oscura', 'De espaldas a la puerta', 'Madrugada', 'Ella, él y sus millones', 'Embajadores en el infierno', '091, policía al habla', 'Tenemos 18 años', 'Porque te vi llorar', 'Bambú', 'El 13-13', 'Tengo 17 años', '¡Dame un poco de amooor...!', 'Juan y Junior... en un mundo diferente', '¡Harka!', 'El pobre García', '¡A mí la legión!']",Hombre
Luis Peña Sánchez,['¡Harka!'],Hombre
Luis Politti,"['El nido', 'El corazón del bosque', 'Con uñas y dientes', 'Las truchas', 'El hombre de moda', 'F.E.N.']",Hombre
Luis Porredón,['El difunto es un vivo'],Hombre
Luis Pozo,['La noche del ratón'],Hombre
Luis Prendes,"['Cielo negro', 'A hierro muere', 'La hora incógnita', 'De espaldas a la puerta', 'Hay que matar a B.', 'Séptima página', 'Balarrasa', 'Los muertos no perdonan', 'La culpa del otro', 'El diablo toca la flauta', 'El hombre que mató a Billy el Niño', 'Memorias del General Escobar', 'Alma de Dios', 'Boda accidentada', 'Atilano, presidente', 'Loca juventud']",Hombre
Luis Pérez de León,"['Bienvenido, Míster Marshall', 'La Laguna Negra', 'Novio a la vista', 'Las aguas bajan negras', 'El sistema Pelegrín', 'La chica del gato', 'El pescador de coplas']",Hombre
Luis Pérezagua,"['Tin & Tina', 'Adiós con el corazón', 'El seductor', 'La marcha verde']",Hombre
Luis Rico,['El curso en que amamos a Kim Novak'],Hombre
Luis Rivera,"['El hombre de Río Malo', 'Solos los dos']",Hombre
Luis Romero,['Young Sánchez'],Hombre
Luis Rosales,['El elegido'],Hombre
Luis Roses,"['Los peces rojos', 'Novio a la vista', 'El lazarillo de Tormes', 'Los clarines del miedo', 'El pequeño ruiseñor']",Hombre
Luis Sacristán,['Contando ovejas'],Hombre
Luis Salguero,['Puede ser divertido'],Hombre
Luis Seguí,['Un Dios prohibido'],Hombre
Luis Serret,['España otra vez'],Hombre
Luis Suárez,"['Los desafíos', 'Guarapo']",Hombre
Luis Sánchez Polack,"['Mi tío Jacinto', 'Parranda', 'La visita que no tocó el timbre', 'Megatón Ye-Ye', 'Manolo guardia urbano', 'La fierecilla domada', 'Sor Citroën', 'Los chicos con las chicas', 'Señora doctor', '¡Dame un poco de amooor...!', 'El insólito embarazo de los Martínez', 'La casa de los Martínez', 'Un beso en el puerto', 'Enseñar a un sinvergüenza', 'Aunque la hormona se vista de seda...']",Hombre
Luis Tosar,"['Celda 211', 'Klaus', 'Los lunes al sol', 'Te doy mis ojos', 'Maixabel', 'También la lluvia', 'Mientras duermes', 'Intemperie', 'El apóstol', 'La flaqueza del bolchevique', 'En los márgenes', 'Flores de otro mundo', 'Quien a hierro mata', 'A cambio de nada', 'Una pistola en cada mano', '18 comidas', 'Los fenómenos', 'Operación E', 'El lápiz del carpintero', 'El desconocido', 'La vida que te espera', 'Inconscientes', 'Adú', 'Sé quién eres', 'Musarañas', 'El Niño', 'Ventajas de viajar en tren', '1898. Los últimos de Filipinas', 'Cien años de perdón', 'Aupa Etxebeste!', 'Lena', 'El regalo de Silvia', 'Todos los nombres de Dios', 'La sombra de la ley', 'Fatum', 'Crebinsky', 'Código Emperador', 'El fantástico caso del Golem', 'Lope', 'Leo', 'Casual Day', 'La noche que dejó de llover', 'ma ma', 'El increíble finde menguante', 'Las vidas de Celia', 'Way Down', 'Celos', 'Hasta el cielo', 'Toro', 'Besos para todos', 'Plan de fuga', 'La noche del hermano', 'Trece campanadas', 'Little Galicia', 'Canallas', 'Yucatán', 'El mundo alrededor', 'Hotel Tívoli', 'Cargo', 'Ola de crímenes', 'Atilano, presidente']",Hombre
Luis Valero,['La piel quemada'],Hombre
Luis Varela,"['Pájaros de papel', 'El crack Cero', 'Fuera de carta', 'Crimen ferpecto', 'Promoción fantasma', 'En tu cabeza', 'Lo dejo cuando quiera', 'La tía de Carlos', 'Es peligroso casarse a los 60', 'El calzonazos', 'Camera Café, la película', 'Blockbuster', 'La tonta del bote', 'Bendita calamidad', 'Pisito de solteras', 'Todo es posible en Granada', 'Cuando los niños vienen de Marsella', 'Cuando Almanzor perdió el tambor', 'El Cid cabreador']",Hombre
Luis Velazquez,['¿Qué hicimos mal?'],Hombre
Luis Villasiul,['Un marido a precio fijo'],Hombre
Luis Zahera,"['Celda 211', 'As bestas', 'Los lunes al sol', 'El Reino', 'Que Dios nos perdone', 'Mientras dure la guerra', 'Concursante', 'A cambio de nada', 'El desconocido', 'Loco por ella', 'Lena', 'El año de la garrapata', 'La playa de los ahogados', 'Retornos', 'Invasor', 'Lobos de Arga', 'El silencio del pantano', 'Canallas', 'Infiesto', 'Los años desnudos. Clasificada S', 'Xtremo', 'Abrígate', 'Hotel Tívoli', 'Agnosia', 'Combustión', 'Spanish Movie', 'La herencia Valdemar II: La sombra prohibida']",Hombre
Luis Ziembrowski,"['Vidas privadas', 'Séptimo']",Hombre
Luis de Arnedillo,['Misterio en la marisma'],Hombre
Luis de Sannta,['La paradoja de Antares'],Hombre
Luis Ángel Priego,"['Planta 4ª', '¿Y tú quién eres?']",Hombre
Luisa Ezquerra,['No digas nada'],Mujer
Luisa Fernanda Gaona,['El jardín de las delicias'],Mujer
Luisa Gavasa,"['Campeones', 'La novia', 'El crack Cero', 'Incierta gloria', 'Mensaka', 'Aunque tú no lo sepas', 'El árbol de la sangre', 'De tu ventana a la mía', 'No mires a los ojos', 'Sinjar', 'Para entrar a vivir', 'Red de libertad', 'Para Elisa', 'Miau']",Mujer
Luisa Martín,"['Entrelobos', 'Matar el tiempo', 'Terca vida', 'El futuro ya no es lo que era']",Mujer
Luisa María Payán,"['¿Dónde vas, Alfonso XII?']",Mujer
Luisa Merelas,"['As bestas', 'María (y los demás)', 'Tres', 'Live is Life. La gran aventura', 'Elisa y Marcela', 'Hermana muerte', 'La promesa']",Mujer
Luisa Muñoz,['El buen amor'],Mujer
Luisa Rodrigo,"['El nido', 'La próxima estación', 'Dulces horas', 'El hermano bastardo de Dios']",Mujer
Luisa Sala,"['Duelo en la cañada', 'Las salvajes en Puente San Gil', 'Una monja y un Don Juan']",Mujer
Luisa Torregrosa,['Yo puta'],Mujer
Luisa Vides,['La maniobra de la tortuga'],Mujer
Luisa de Córdoba,['Mi último tango'],Mujer
Luisber Santiago,"['2 francos, 40 pesetas', 'Nacida para ganar', 'Atasco en la nacional']",
Luisella Boni,['Amanecer en Puerta Oscura'],Mujer
Luisita España,['Rojo y negro'],
Luisita Esteso,"['Segundo López, aventurero urbano', 'Don Quintín el amargao', 'El secreto inconfesable de un chico bien']",
Luisje Moyano,['Al Pereira vs. the Alligator Ladies'],
Luka Peros,"['El fotógrafo de Mauthausen', 'El arte de volver', 'Black Beach', 'Sweet Home']",Hombre
Lukasz Arkadiusz,['Afterparty'],
Luke Donovan,"['Slam', 'Gente pez']",Hombre
Lulzim Guhelli,['The Invocation of Enver Simaku'],Hombre
Luna,['Stranded (Náufragos)'],Mujer
Luna Berroa,['El universo de Óliver'],Mujer
Luna Fulgencio,"['El test', 'Padre no hay más que uno', 'Héroes de barrio', 'Padre no hay más que uno 2: La llegada de la suegra', 'Lobo feroz', 'Padre no hay más que uno 3', 'A todo tren. Destino Asturias', 'La casa del caracol', 'El hombre del saco', 'A todo tren 2: Sí, les ha pasado otra vez', 'El refugio']",Mujer
Luna Gallego,['Amigos hasta la muerte'],Mujer
Luna Lopez,['Padre no hay más que uno 3'],Mujer
Luna McGill,"['El viaje de Carol', 'Romasanta, la caza de la bestia', 'Noche de reyes']",Mujer
Luna Pamiés,['El agua'],Mujer
Lupe Barrado,"['Tacones lejanos', 'Adosados']",Mujer
Lupe Cartie Roda,['13 exorcismos'],Mujer
Lupe Rocha,['El asesino de muñecas'],Mujer
Lupe Verdaguer Rodríguez,['Los días que vendrán'],Mujer
Luz Carrera,['75 días'],Mujer
Luz Juanes,['Isaac'],Mujer
Luz Márquez,"['Cita imposible', 'Manolo guardia urbano', 'Las chicas de la Cruz Roja', 'Los dos golfillos', 'Tengo 17 años', '15 bajo la lona']",Mujer
Luz Valdenebro,['Bajo las estrellas'],Mujer
Luís Rodrigues,['A tiro limpio'],Hombre
Luís Rodríguez,['Torcidos'],Hombre
Lydia Bosch,"['El disputado voto del Sr. Cayo', ""You're the One (Una historia de entonces)"", 'Jarrapellejos', 'Palace', 'Mi hermano del alma', 'Una casa en las afueras', 'La luna negra', 'Al límite', 'La hermandad']",Mujer
Lydia Cortés,['De cuerpo presente'],Mujer
Lydia Fairén,['El diario de Carlota'],Mujer
Lydia Lozano,['Desde que amanece apetece'],Mujer
Lydia Zimmermann,['Elisa K'],Mujer
Lyla Rocco,['Murió hace quince años'],Mujer
Lynda Day George,['Mil gritos tiene la noche'],Mujer
Lídia Casanova,"['Unicornios', 'Framed']",Mujer
Lídia Torrent,['Blog'],Mujer
M. Cruz Fernández,['La venganza de la momia'],
Ma-Anne Valmeo,['Al final del camino'],
Maaike Cafmeyer,['El año de la plaga'],Mujer
Maarten Dannenberg,"['La vida era eso', 'El jugador de ajedrez', 'Parada en el Infierno']",Hombre
Maarten Swan,['Inside'],Hombre
Mabel Escaño,"['Amantes', 'Todos al suelo', 'Los invitados', 'El libro de buen amor', 'Muerte de un quinqui', 'Desde que amanece apetece', 'La mansión de los muertos vivientes', 'Policía']",Mujer
Mabel Garrido,['El gran marciano'],Mujer
Mabel Karr,"['La hora incógnita', 'Condenados a vivir', 'Los Palomos', 'Miss Muerte', 'Abuelo made in Spain', 'La fiel infantería', 'El día de los enamorados', 'Las chicas de la Cruz Roja', 'Las secretarias', 'Experiencia prematrimonial', '¿Por qué pecamos a los 40?', 'Sin un adiós', 'La lengua asesina']",Mujer
Mabel Lozano,"['Una pareja perfecta', 'Dile a Laura que la quiero', 'Al límite', 'Grandes ocasiones', 'Corazón de bombón']",Mujer
Mabel Ordóñez,['Tormento'],Mujer
Mabel Rivera,"['Arrugas', 'Mar adentro', '¡Salta!', 'El orfanato', 'Mataharis', 'María Solinha', 'Agallas', 'Lobos de Arga', 'Little Galicia', 'Hotel Tívoli', 'Faltas leves']",Mujer
Macarena Buera,['Muchos pedazos de algo'],Mujer
Macarena Camacho,['Chispita y sus gorilas'],Mujer
Macarena García,"['Blancanieves', 'Ventajas de viajar en tren', 'Palmeras en la nieve', 'La llamada', 'El arte de volver', 'Todos están muertos', 'Que baje Dios y lo vea', 'Villaviciosa de al lado', 'A pesar de todo']",Mujer
Macarena Gómez,"['El crack Cero', 'Musarañas', 'El fotógrafo de Mauthausen', 'En las estrellas', 'Las brujas de Zugarramurdi', 'La noche que dejó de llover', 'Platillos volantes', 'Secuestro', 'La dama boba', 'Los héroes del mal', 'Carne de neón', 'El Calentito', 'Boi', 'Del lado del verano', '20 centímetros', 'Y todos arderán', 'Pieles', 'Al final todos mueren', 'Amor en polvo', 'Sexykiller', '249. La noche en que una becaria encontró a Emiliano Revilla', 'Mi otro Jon', '75 días', 'Verbo', 'La piedad', 'Dagon: la secta del mar', 'Holmes & Watson. Madrid Days', 'El hombre del saco', 'Los Rodríguez y el más allá', 'Todos lo hacen', 'Hot Milk']",Mujer
Macarena Regueiro,['Año cero'],Mujer
Macarena Sanz,"['Las furias', 'Selfie', 'Violeta no coge el ascensor']",Mujer
Macda River,['Ama Rosa'],
Machi Salgado,"['As bestas', '¡Salta!', 'La isla de las mentiras']",Mujer
Macià Arguimbau,['La vida lliure'],
Madeleine C. Ndong,['El viaje de Marta (Staff Only)'],Mujer
Madeleine Fischer,['La gran mentira'],Mujer
Madeleine LeBeau,['La pícara molinera'],Mujer
Madeleine Robinson,"['El juego de la verdad', '7 días de enero']",Mujer
Madi Diocou,['El dios de madera'],Hombre
Mads Mikkelsen,['Torremolinos 73'],Hombre
Mafalda Carbonell,"['Vivir dos veces', 'Baby']",Mujer
Magali Noël,['La dama de Beirut'],Mujer
Magalis Gainza,['En la puta calle'],
Magaly Solier,"['Blackthorn. Sin destino', 'Amador']",Mujer
Magdalena Aizpurua,"['La buena nueva', 'Acantilado']",Mujer
Magdalena García,['Dulces horas'],Mujer
Maggie Civantos,"['Alegría Tristeza', '321 días en Michigan', 'El mejor verano de mi vida', 'Antes de la quema', 'La influencia', 'Amanecidos', 'La pequeña Suiza']",Mujer
Magnus Krepper,['El amor en su lugar'],Hombre
Magín Mayo,"['El filandón', 'Tritones, más allá de ningún sitio']",
Magüi Mira,"['En las estrellas', 'Un mundo normal', 'Venus', 'Alguien que cuide de mí', 'Esperpentos', 'Reflejos', 'El laberinto griego', 'Yo soy ésa']",
Maia Zaitegi,['La ermita'],Mujer
Maiara Walsh,['Summer Camp'],
Maider Salas,['No tengas miedo'],Mujer
Maife Gil,['Lo mejor de mí'],
Maika Barroso,"['Viaje al cuarto de una madre', 'Jefe', 'Lejos del mar']",Mujer
Maika Grey,['Los caraduros'],Mujer
Maika Sanz,['Bragas calientes'],Mujer
Maiken Beitia,"['Acantilado', '2 rivales casi iguales']",Mujer
Maitane San Nicolás,['Objetos'],Mujer
Maite Arrese,"['Kutsidazu bidea, Ixabel (Enséñame el camino, Isabel)']",Mujer
Maite Arroitajauregi,['Amama'],Mujer
Maite Bastos,['Errementari (El herrero y el diablo)'],Mujer
Maite Blasco,"['La vida alrededor', 'Sólo para hombres', 'Los peores años de nuestra vida', 'Planes para mañana', 'Todas las canciones hablan de mí', 'Sobreviviré', 'Taxi', 'La guerra de los locos', 'Carreteras secundarias', 'Todo por la pasta', 'Accidente 703', 'Vidas pequeñas', 'Siempre es domingo', 'El hombre de moda', 'Brandy', 'La noche más hermosa', 'Dama de Porto Pim', 'La querida']",Mujer
Maite Buenafuente,['Chavalas'],Mujer
Maite Jauregui,['Planta 4ª'],Mujer
Maite Matalonga,['Una chica para dos'],Mujer
Maite Medina,['Cine Basura: La película'],Mujer
Maite Pardo,['Corazón Loco'],Mujer
Maite Perroni,['Sin ti no puedo'],Mujer
Maite Sancho,['Un rolls para Hipólito'],Mujer
Maite Sandoval,"['El mundo es nuestro', 'Kiki, el amor se hace', '7 vírgenes', 'El silencio del pantano', 'La tribu', 'Miamor perdido', 'La última isla', 'Superagente Makey']",Mujer
Maite Sequeira,['Las niñas'],Mujer
Maite Sáez de Vicuña,['Todas las lunas'],Mujer
Maite Vallecillo,['El país del miedo'],Mujer
Mala Rodríguez,['El truco del manco'],Mujer
Malala Díaz,['Explota Explota'],
Malcolm Sitté,"['El cuaderno de Sara', 'Lo nunca visto', 'Salir del ropero']",Hombre
Malena Alterio,"['Bajo terapia', 'La torre de Suso', 'Nacidas para sufrir', 'Una palabra tuya', 'Cinco metros cuadrados', 'Torremolinos 73', 'Casual Day', 'Las voces de la noche', 'El palo', 'Hasta que la boda nos separe', 'Toscana', 'Perdiendo el norte', 'Semen, una historia de amor', 'Cásate conmigo, Maribel', 'Espejo, espejo', 'Al final del camino', 'Miguel y William', 'Perdiendo el este', 'La maldición del guapo', 'Mamá no enRedes', 'Bajo el mismo techo', 'Días de cine']",Mujer
Malena Casado,['Zalamero'],Mujer
Malena Gracia,['El aullido del diablo'],Mujer
Malena Gutiérrez,"['Descongélate', 'Entre rojas', 'Los años desnudos. Clasificada S', 'Perdona bonita, pero Lucas me quería a mí', 'Perdiendo el este', 'El grito en el cielo']",Mujer
Malena Solda,"['Yo, mi mujer y mi mujer muerta']",Mujer
Maleni Castro,['Bello recuerdo'],
Malika Mabrouki,['Susanna'],Mujer
Malila Sandoval,['Con la vida hicieron fuego'],
Malisa Longo,['No desearás al vecino del quinto'],
Mamen Duch,['Diecisiete'],
Mamen García,"['Vivir dos veces', 'El bar', 'Mamá o papá', 'Tengamos la fiesta en paz', '9 meses', 'Paella Today']",
Mamen Godoy,"['María querida', 'Ana de día']",
Mamen Rivera,"['Ander', 'La matanza caníbal de los garrulos lisérgicos']",
Man Mourentan,['Boi'],
Manabu Oshio,['Mapa de los sonidos de Tokio'],Hombre
Mandy Patinkin,['La reina de España'],Mujer
Manel Barceló,"['Forasteros', 'La niña de la comunión', 'Los del túnel']",Hombre
Manel Bartomeus,['Sévigné'],Hombre
Manel Castillejos,"['Adiós, tiburón']",Hombre
Manel Dueso,"['Contratiempo', 'El cuerpo', 'Eva', 'El crimen del cine Oriente', 'El cuco', 'El bosque', 'Fumata blanca', 'Los inocentes']",Hombre
Manel Fuentes,"['El Cid, la leyenda']",Hombre
Manel Llunell,"['Malnazidos', 'Bird Box Barcelona', 'La piedad']",Hombre
Manel Sans,['El dominio de los sentidos'],Hombre
Mani Braga,['La felicidad de los perros'],Hombre
Manolita Morán,['La torre de los siete jorobados'],Mujer
Manolito Martín,['El E.T.E. y el Oto'],Hombre
Manolito Pérez,['Suspiros de España'],Hombre
Manolo Badajoz,['El crimen de Pepe Conde'],Hombre
Manolo Calderón,['La espalda de Dios'],Hombre
Manolo Caracol,"['Embrujo', 'La niña de la venta']",Hombre
Manolo Cardona,['El cuaderno de Sara'],Hombre
Manolo Caro,"['Intemperie', 'Camarón', 'Jaulas', 'La pistola de mi hermano', 'Hombre muerto no sabe vivir', 'Shacky Carmine']",Hombre
Manolo Codeso,"['Espérame en el cielo', 'De camisa vieja a chaqueta nueva', 'El taxi de los conflictos', 'Las autonosuyas', 'Cuatro noches de boda', 'Disparate nacional', 'Los porretas', 'Un día con Sergio', 'Adulterio nacional', 'Canción triste de...']",Hombre
Manolo Escobar,"['Juicio de faldas', 'Los guerrilleros', 'Me debes un muerto', 'Pero... ¿en qué país vivimos?', 'Todo es posible en Granada', 'Relaciones casi públicas', '¿Dónde estará mi niño?', 'Un beso en el puerto', 'Donde hay patrón...', 'El padre Manolo', 'Cuando los niños vienen de Marsella', 'Préstamela esta noche', 'Me has hecho perder el juicio', 'Alejandra, mon amour (AKA Operación Comando) (AKA Alejandra, mi amor)']",Hombre
Manolo Fernández,['¡Dame un poco de amooor...!'],Hombre
Manolo García,"['Hay un camino a la derecha', 'El Cid, la leyenda']",Hombre
Manolo Gómez Bur,"['El grano de mostaza', 'Los tramposos', '091, policía al habla', 'Crimen para recién casados', 'Accidente 703', 'Lola, espejo oscuro', 'Los que tocan el piano', 'Tres de la Cruz Roja', '¿Qué hacemos con los hijos?', 'La pandilla de los once', 'Fin de semana', 'Operación Secretaria', 'Casa Flora', 'Las señoritas de mala compañía', 'Trampa para Catalina', 'Nuevo en esta plaza', 'Los subdesarrollados', 'La fierecilla domada', 'Las que tienen que servir', 'La batalla del domingo', 'El dinero tiene miedo', 'Congreso en Sevilla', 'Vuelve San Valentín', 'Cómo casarse en siete días', 'Los chicos con las chicas', 'Como matar a papá... sin hacerle daño', 'Hoy como ayer', 'Amor a la española', 'Dos chicas de revista', 'La dinamita está servida', 'Una vez al año ser hippy no hace daño', 'El pobre García', 'Después de los nueve meses', 'La hermana San Sulpicio', 'El arte de casarse', 'Soltera y madre en la vida', 'Tú y yo somos tres', 'Los guerrilleros', 'Festival en Benidorm', 'Cristóbal Colón, de oficio... descubridor', 'El relicario', 'Todo es posible en Granada', 'El señorito y las seductoras', 'Donde hay patrón...', 'Pepito Piscinas', 'Las ibéricas F.C.', 'Juana la loca... de vez en cuando', 'Un adulterio decente', 'El Cid cabreador']",Hombre
Manolo Monteagudo,['Un mundo cuadrado'],Hombre
Manolo Morán,"['Bienvenido, Míster Marshall', 'Cielo negro', 'La vida alrededor', 'La calle sin sol', 'Barrio', 'El destino se disculpa', 'Una mujer cualquiera', 'Don Quijote de la Mancha', 'La gran mentira', 'Los últimos de Filipinas', 'Balarrasa', 'Así es Madrid', 'El puente de la paz', 'Vamos a contar mentiras', 'Doña Francisquita', 'El capitán Veneno', 'Goyescas', 'Recluta con niño', 'El diablo toca la flauta', 'Tarde de toros', 'Los ángeles del volante', 'Manolo guardia urbano', '¡Viva lo imposible!', '¡Aquí hay petróleo!', 'El camino de Babel', 'La ciudad perdida', 'Once pares de botas', 'Congreso en Sevilla', 'Estrella de Sierra Morena', 'El Litri y su sombra', 'El pobre García', 'Chantaje a un torero', 'Como dos gotas de agua']",Hombre
Manolo Otero,"['Mi querida señorita', 'Venta por pisos', 'Cuentos de las sábanas blancas']",Hombre
Manolo Reyes 'Pozí',['FBI: Frikis Buscan Incordiar'],Hombre
Manolo Royo,"['Atraco a las 3... y media', 'Hermana, ¿pero qué has hecho?', 'El E.T.E. y el Oto']",Hombre
Manolo Solo,"['Celda 211', 'Cerrar los ojos', 'La isla mínima', 'El buen patrón', 'Tarde para la ira', '15 días contigo (Quince días contigo)', 'Astronautas', 'La flaqueza del bolchevique', 'Carmina y amén.', 'B', 'Competencia oficial', 'Girasoles silvestres', 'Llenos de gracia', '7 vírgenes', 'La herida', 'El gran Vázquez', 'Carlos contra el mundo', 'Cuando todo esté en orden', 'Josefina', 'Amador', 'Elisa y Marcela', 'La sombra de la ley', 'El guardián invisible', 'Pudor', 'Caníbal', 'Tiempo después', 'La desconocida', 'Sevillanas de Brooklyn', '¿Quién mató a Bambi?', 'Es por tu bien', 'Impávido', '7 razones para huir', 'Contando ovejas', 'Asesinos inocentes', 'Los del túnel', 'El silencio de la ciudad blanca', '522. Un gato, un chino y mi padre', 'Verbo', 'La fortaleza', 'El hombre del saco']",Hombre
Manolo de Vega,['Isi/Disi: Amor a lo bestia'],Hombre
Manrique Gil,['Viaje sin destino'],
Mantine Andó,['El anacoreta'],
Manu Fullola,"['Llegaron de noche', 'La monja']",Hombre
Manu Hernández,['La cosecha'],Hombre
Manu Uranga,['Amama'],Hombre
Manuel Aguilar,['Bajo un manto de estrellas'],Hombre
Manuel Aguilera,"['El último caballo', 'Una mujer cualquiera', 'Recluta con niño']",Hombre
Manuel Alexandre,"['Plácido', 'Calle Mayor', 'Muerte de un ciclista', 'Calabuch', 'Amanece, que no es poco', 'Atraco a las tres', 'El bosque animado', 'Los jueves, milagro', 'La vida por delante', 'El inquilino', 'Cómicos', 'La venganza', 'Sólo para hombres', 'El salario del crimen', 'El mar y el tiempo', 'El juego de la verdad', 'Todos somos necesarios', 'Incautos', 'El puente', 'El año de las luces', 'El malvado Carabel', 'El caso Almería', 'Los Palomos', 'Los días del pasado', 'Fulano y Mengano', 'Extramuros', 'Nadie lo sabrá', '¡Vivan los novios!', 'La mano de un hombre muerto', 'Madregilda', 'La marrana', 'La noche y el alba', 'Historias de la televisión', '091, policía al habla', 'Duerme, duerme, mi amor', 'Pídele cuentas al rey', 'Dos tipos duros', 'Todos a la cárcel', 'Dos cuentos para dos', 'Lázaro de Tormes', '¡Biba la banda!', 'Felices Pascuas', 'El caballero Don Quijote', 'Don Quijote cabalga de nuevo', 'La muerte silba un blues', 'Accidente 703', 'El cabezota', 'Sinatra', 'Los nuevos españoles', 'La mano negra', 'La cólera del viento', '¿Y tú quién eres?', 'El señor de La Salle', 'Cabeza de perro', 'Don erre que erre', 'Pretextos', 'Bombas para la paz', 'Sonatas (Las aventuras del marqués de Bradomin)', 'La insólita y gloriosa hazaña del cipote de Archidona', 'Mayores con reparos', 'Terca vida', 'La paz empieza nunca', 'Fuera de juego', 'La batalla del domingo', 'Viaje de novios', 'La cera virgen', 'Tocata y fuga de Lolita', 'Blanca por fuera y Rosa por dentro', 'Operación Plus Ultra', 'Señora doctor', 'Hoy como ayer', 'Una mujer bajo la lluvia', 'Vota a Gundisalvo', 'El beso del sueño', 'Pesadilla para un rico', 'Amor bajo cero', 'Siempre hay un camino a la derecha', 'La guerra de los niños', 'Atraco a las 3... y media', 'Tocando fondo', '...Y al tercer año, resucitó', 'Chantaje a un torero', 'El señor está servido', 'La duquesa roja', 'La segunda guerra de los niños', 'Las locuras de Parchís', 'Amor a todo gas', 'Relaciones casi públicas', 'Caray con el divorcio', 'Los porretas', 'Un beso en el puerto', 'Parchís entra en acción', 'Enseñar a un sinvergüenza', 'Préstame tu mujer', 'Pareja enloquecida busca madre de alquiler', 'Un adulterio decente', 'La vuelta de El Coyote', 'Adiós, tiburón', 'Franky Banderas']",Hombre
Manuel Alonso Pérez,['Sempre Xonxa (Siempre Xonxa)'],Hombre
Manuel Andrade,['Retrato de familia'],Hombre
Manuel Andrés,"['Tiovivo c. 1950', 'Manchas de sangre en un coche nuevo']",Hombre
