Actor,Peliculas,Sexo
Ahmad Alhamsho,['La mujer ilegal'],Hombre
Ahmed El-Maaroufi,['Las cartas de Alou'],Hombre
Ahuizótl Ahui Camacho Castillo,"['Cateto a babor', 'El golfo']",
Aia Kruse,"['Handia', 'Ane', 'Nora', 'El comensal']",Mujer
Aida Flix,['El secreto de los 24 escalones'],Mujer
Aida Folch,"['Los lunes al sol', 'Salvador (Puig Antich)', 'El artista y la modelo', '25 kilates', 'Las vidas de Celia', 'Fuego', 'El embrujo de Shanghai', 'La mirada violeta', 'El amor no es lo que era', 'Fin de curso', 'La cinta de Álex', 'Incidencias']",Mujer
Aida Gómez,['Salomé'],Mujer
Aida Oset,"['Tres días con la familia', 'Forasteros']",Mujer
Aida Power,"['Un beso en el puerto', 'Una chica para dos']",Mujer
Aida de la Cruz,['Marisa en los bosques'],Mujer
Aimar Vega,['Amor eterno'],Hombre
Aimee Graham,['Perdita Durango'],Mujer
Aimee Teegarden,['Mi panadería en Brooklyn'],Mujer
Aina Calpe,"['La línea recta', 'Caracremada']",Mujer
Aina Clotet,"['Els encantats (Los encantados)', 'Durante la tormenta', 'Vivir dos veces', '53 días de invierno', 'La hija de alguien', 'Los niños salvajes', 'Rastros de sándalo', 'Elisa K', '7 razones para huir', 'Mala uva', 'Animales heridos', 'Jóvenes']",Mujer
Aina Picarolo,['La casa entre los cactus'],Mujer
Aina Planas,['XP3D'],Mujer
Aina Quiñones,['La niña de la comunión'],Mujer
Aina Requena,['El olivo'],Mujer
Aina Zuazaga,['Verano Rojo'],Mujer
Aina de Cos,['Yo'],Mujer
Ainara Arizu,['Explota Explota'],Mujer
Ainara Elejalde,['Els encantats (Los encantados)'],Mujer
Ainere Tolosa,"['Kutsidazu bidea, Ixabel (Enséñame el camino, Isabel)']",
Ainet Jounou,['Alcarràs'],
Ainhoa Aierbe,"['Embarazados', 'La ermita']",Mujer
Ainhoa Aldanondo,"['De tu ventana a la mía', 'Un Dios prohibido', 'Poveda', 'Red de libertad']",Mujer
Ainhoa Cebriá,['Amor en polvo'],Mujer
Ainhoa Ortuño,['Lucas'],Mujer
Ainhoa Quintana,['No tengas miedo'],Mujer
Ainhoa Santamaría,"['Las leyes de la frontera', 'Mientras dure la guerra', 'Las buenas compañías', 'Madres paralelas']",Mujer
Aintzane Garreta,['La cosecha'],Mujer
Airas Bispo,"['Los muertos no se tocan, nene']",
Aitana Sánchez-Gijón,"['El maquinista', 'Sus ojos se cerraron', 'El mar y el tiempo', 'Remando al viento', 'Maktub', 'El pájaro de la felicidad', 'Bajarse al moro', 'Madres paralelas', 'Jarrapellejos', 'Redondela', 'Bosque de sombras', 'Mi dulce', 'Boca a boca', 'Yerma', 'Celos', 'La carta esférica', 'La camarera del Titanic', 'Animales heridos', 'Thi Mai, rumbo a Vietnam', 'Oviedo Express', 'Mi otro Jon', 'La jefa', 'Hombres felices', 'Volavérunt', 'El club de los incomprendidos', 'El laberinto griego', 'La leyenda de Balthasar el castrado', 'La cinta de Álex']",Mujer
Aitor Barandiaran,['Irati'],Hombre
Aitor Beltrán,"['La quietud en la tormenta', 'El hijo del acordeonista', 'A escondidas', 'Los tontos y los estúpidos', 'La casa de mi padre', 'Estrellas que alcanzar', 'School Killer (El vigilante)']",Hombre
Aitor Borobia,['El comensal'],Hombre
Aitor Calderón,['Érase una vez en Euskadi'],Hombre
Aitor Etxeberia,['El rey de la granja'],Hombre
Aitor Luna,"['La isla de las mentiras', 'El aviso', 'Sordo', 'Matar el tiempo', 'Mi panadería en Brooklyn']",Hombre
Aitor Mazo,"['Ocho apellidos vascos', 'La máquina de pintar nubes', 'La voz de su amo', 'Lasa y Zabala', 'A mi madre le gustan las mujeres', '15 años y un día', 'El robo más grande jamás contado', 'Bypass', 'Cachito', 'El deseo de ser piel roja', 'Cosa de brujas', 'Carretera y manta', 'Sálvate si puedes', 'El furgón']",Hombre
Aitor Merino,"['Horas de luz', 'Un banco en el parque', 'Historias del Kronen', 'Tu nombre envenena mis sueños', 'El Calentito', 'Canícula', 'Cascabel', 'Mambí', 'Si te dicen que caí', 'Algunas chicas doblan las piernas cuando hablan', 'Huidos', '¿Tú qué harías por amor?', 'Haz de tu vida una obra de arte']",Hombre
Aitor Pereda,['The Night Watchman. La mina'],Hombre
Aitziber Garmendia,"['Mantícora', 'Ocho apellidos vascos', 'Enjambre', 'Como Dios manda']",
Aitzpea Goenaga,"['Ander y Yul', 'Agur Etxebeste!', 'El cazador de dragones', 'El invierno en Lisboa']",
Aixa Villagrán,"['En los márgenes', 'María (y los demás)', 'Loco por ella', 'Violeta no coge el ascensor']",
Ajay Jethi,['Kamikaze'],Hombre
Ajita Wilson,"['Los energéticos', 'Macumba sexual', 'Apocalipsis sexual']",
Akihiko Serikawa,['Menú degustación'],Hombre
Akilas Karazisis,['Una ventana al mar'],
Akim Tamiroff,['Don Quijote de Orson Welles'],Hombre
Akonio Dolo,['Las cartas de Alou'],
Al Sarcoli,['La reina de los lagartos'],Hombre
Alada Vila,['Blog'],
Alady,['Esa pareja feliz'],
Alain Hernández,"['El rey tuerto', 'Palmeras en la nieve', 'El fotógrafo de Mauthausen', 'Terrados', 'Ismael', 'Plan de fuga', '7 razones para huir', 'Solo', 'El cerro de los dioses', 'Que baje Dios y lo vea', 'La influencia']",Hombre
Alain Morat,['Vacaciones para Ivette'],Hombre
Alain Saury,['La dama de Beirut'],Hombre
Alakina Mann,['Los otros'],
Alan David,['Los crímenes de Oxford'],Hombre
Alan Juan Pablo Moya,['El faro de las orcas'],Hombre
Alan Miranda,"['A todo tren. Destino Asturias', 'A todo tren 2: Sí, les ha pasado otra vez']",Hombre
Alan Webb,['Campanadas a medianoche'],Hombre
Alana Boden,['Feedback'],Mujer
Alba Alonso,['No digas nada'],Mujer
Alba Barneda,['La maldita primavera'],Mujer
Alba Bersabe,"['La gran aventura de Los Lunnis y el Libro Mágico', 'Descarrilados']",Mujer
Alba Brunet,['Barcelona 1714'],Mujer
Alba Casterá Montalvá,['Zerø'],Mujer
Alba Cros,['La amiga de mi amiga'],Mujer
Alba Flores,"['Te estoy amando locamente', 'El Calentito', 'Los managers']",Mujer
Alba Fontecha,"['Soy una buena persona', 'Matando el tiempo']",Mujer
Alba Gallego Jesús Soria,"['Muchos pedazos de algo', 'Novatos']",Mujer
Alba Galocha,"['El hombre de las mil caras', 'Plan de fuga', 'No culpes al karma de lo que te pasa por gilipollas']",Mujer
Alba García,"['Verbo', 'Faraday']",Mujer
Alba Guerrero,['Diamond Flash'],Mujer
Alba Guilera,"['Un año, una noche', 'The Night Watchman. La mina']",Mujer
Alba Gárate,['AzulOscuroCasiNegro'],Mujer
Alba Loureiro,['María (y los demás)'],Mujer
Alba López,['Pàtria'],Mujer
Alba Martín,['2097'],Mujer
Alba Messa,"['Buenas Noches, dijo la Señorita Pájaro', 'Summertime', 'El último fin de semana']",Mujer
Alba Planas,['Por los pelos'],Mujer
Alba Ribas,"['100 metros', 'El cadáver de Anna Fritz', 'Animals', 'Te quiero, imbécil', 'La estación del olvido', 'XP3D']",Mujer
Alba Rodríguez,['7 vírgenes'],Mujer
Alba Sanmartí,['Dieta mediterránea'],Mujer
Alba Yáñez,['La maniobra de Heimlich'],Mujer
Alber Ponte,['Intacto'],Hombre
Albert Adrià,['El secreto de los 24 escalones'],Hombre
Albert Ausellé,"['Mantícora', 'El virus del miedo', 'Lo más importante de la vida es no haber muerto']",Hombre
Albert Baró,['Los niños salvajes'],Hombre
Albert Baulies,['Cobardes'],Hombre
Albert Boadella,['La portentosa vida del padre Vicente'],Hombre
Albert Bosch,['Alcarràs'],Hombre
Albert Carbó,"['El cadáver de Anna Fritz', 'Bullying', 'DiDi Hollywood']",Hombre
Albert Espinosa,"['No me pidas que te bese, porque te besaré']",Hombre
Albert Forner,"['Dioses y perros', 'Anita no pierde el tren', 'La bicicleta', 'La vida abismal', 'Cruzando el sentido']",Hombre
Albert Green,['No Matarás'],Hombre
Albert Hehn,['El batallón de las sombras'],Hombre
Albert Lieven,['El batallón de las sombras'],Hombre
Albert Muntanyola,['La revolución de los ángeles'],Hombre
Albert Pla,"['Airbag', 'Honor de cavalleria', 'A los que aman', 'La vampira de Barcelona', 'Rey Gitano']",Hombre
Albert Prat,"['Los días que vendrán', 'Segundo origen']",Hombre
Albert Pérez,"['Durante la tormenta', 'Isaac', 'A la deriva']",Hombre
Albert Riballo,['Pàtria'],Hombre
Albert Ribalta,"['El club de los buenos infieles', 'La maniobra de Heimlich']",Hombre
Albert Salazar,['Los pájaros no vuelan de noche'],Hombre
Albert Serra,['El Senyor ha fet en mi meravelles'],Hombre
Albert Tobias,['Sinatra'],Hombre
Albert Trifol,"['Anita no pierde el tren', 'Operación Gónada']",Hombre
Albert Vidal,"['Las cartas de Alou', 'El gran Vázquez', 'Matar al Nani', 'Bruc. El desafío', 'Makinavaja, el último choriso', 'Huevos de oro', 'Barrios altos', 'Sangre y arena']",Hombre
Alberto Abuín,['Quien a hierro mata'],Hombre
Alberto Alonso,"['7 días de enero', 'El jardín de las delicias', 'La guerra de los locos', 'La noche más larga', 'Continental', 'Loca juventud', 'Yo soy ésa']",Hombre
Alberto Amarilla,"['El camino de los ingleses', 'Embarazados', 'Fuga de cerebros 2', 'Fuga de cerebros', 'Prime Time']",Hombre
Alberto Ammann,"['Celda 211', 'Upon Entry (La llegada)', 'Eva', 'Mindscape', 'El año de la furia', 'Lope', ""La deuda (Oliver's Deal)"", 'Invasor', 'Combustión']",Hombre
Alberto Bang,['Veneciafrenia'],Hombre
Alberto Berco,"['España otra vez', 'Mañana será otro día', 'Amor bajo cero']",Hombre
Alberto Berzal,"['Vitoria, 3 de marzo']",Hombre
Alberto Bonucci,['Crónica de nueve meses'],Hombre
Alberto Bourbón,['Megatón Ye-Ye'],Hombre
Alberto Bové,"['El alcalde de Zalamea', 'Cara de acelga', 'Yo me bajo en la próxima, ¿y usted?']",Hombre
Alberto Cassadie,['La camarera del Titanic'],Hombre
Alberto Castrillo Ferrer,"['Frederica Montseny, la mujer que habla', 'Historias lamentables']",Hombre
Alberto Chaves,"['Magical Girl', 'A mi madre le gustan las mujeres', 'A golpes', 'Desde que amanece apetece', 'Isi/Disi: Amor a lo bestia', 'La daga de Rasputín']",Hombre
Alberto Closas,"['Muerte de un ciclista', 'Distrito quinto', 'El baile', 'Todos somos necesarios', 'La gran familia', 'Usted puede ser un asesino', 'Esquilache', 'El diablo también llora', 'El maestro de esgrima', 'La visita que no tocó el timbre', 'La vida en un bloc', 'La familia y uno más', 'Casi un caballero', 'Últimas tardes con Teresa', 'Las viudas', 'De cuerpo presente', 'María, matrícula de Bilbao', 'Sangre en el ruedo', 'La familia bien, gracias', 'Muere una mujer', 'Los chicos del Preu', 'El taxi de los conflictos', 'La fierecilla domada', 'Una muchachita de Valladolid', 'Operación Plus Ultra', 'El divorcio que viene', 'Experiencia prematrimonial']",Hombre
Alberto Dalbés,"['El salario del crimen', 'Condenados a vivir', 'Los muertos no perdonan', 'Fata Morgana', 'La mansión de la niebla', 'La maldición de Frankenstein', 'El desafío de Pancho Villa', 'Drácula contra Frankenstein']",Hombre
Alberto Delgado,"['La próxima estación', 'El juego más divertido', 'La Cripta, el último secreto']",Hombre
Alberto Díaz,"['Mi vacío y yo', 'La estación del olvido']",Hombre
Alberto Escobar,['¿Tú qué harías por amor?'],Hombre
Alberto Farnese,['Amanecer en Puerta Oscura'],Hombre
Alberto Fernández,"['¡Átame!', 'La leyenda del alcalde de Zalamea', 'El monosabio', 'Dragon Rapide', 'Fuera de juego', 'El asesino está entre los trece', 'Vota a Gundisalvo', 'Manolo, la nuit', 'Celedonio y yo somos así', 'Rocío de la Mancha', 'El fascista, la beata y su hija desvirgada', 'Me debes un muerto', 'Cristóbal Colón, de oficio... descubridor', 'Parchís entra en acción', 'Rocky Carambola (La criada se enamora)', 'Policía', 'Sevilla Connection']",Hombre
Alberto Fernández de Rosa,"['Don Quijote cabalga de nuevo', 'Tocata y fuga de Lolita']",Hombre
Alberto Ferreiro,"['Las 13 rosas', 'Soldados de Salamina', 'La mala educación', 'El otro barrio', 'Más pena que gloria', 'Segundo asalto', 'Mujeres en el parque', 'Salvajes', 'La bicicleta', 'Amanecer de un sueño']",Hombre
Alberto Hernández,['Arderás conmigo'],Hombre
Alberto Iglesias,['Enxaneta'],Hombre
Alberto Jiménez,"['El bola', 'Los chicos', 'El viaje de Carol', 'Todo lo que tú quieras', 'Pasos', 'Lo mejor de mí', 'El principio de Arquímedes', 'El hombre de arena', 'Los aires difíciles', 'Sólo mía', 'Un año en la luna', 'Un buen hombre', 'La espalda de Dios', 'Oviedo Express', '249. La noche en que una becaria encontró a Emiliano Revilla', 'La mirada violeta', 'Pájaros muertos', 'Reflejos']",Hombre
Alberto Jo Lee,"['Tapas', 'Nadie quiere la noche', 'La noche que dejó de llover', 'Xtremo', 'El club de los suicidas', 'Thi Mai, rumbo a Vietnam', 'Al final del camino', '522. Un gato, un chino y mi padre', 'La piedad', 'Paella Today']",Hombre
Alberto Joel García,['Habana Blues'],Hombre
Alberto Lozano,['Amigos...'],Hombre
Alberto López,"['El mundo es nuestro', 'Grupo 7', 'Ocho apellidos vascos', 'Marsella', 'Viaje sin destino', 'Toro', 'Operación Camarón', 'El mundo es suyo', 'El difunto es un vivo', 'Zipi y Zape y el club de la canica', 'El mundo es vuestro', 'Ocho apellidos catalanes', 'Para toda la muerte', 'Contigo no, bicho']",Hombre
Alberto Manzano,['Tras el cristal'],Hombre
Alberto Martín Aranaga,['Alas de mariposa'],Hombre
Alberto Martínez,['Killer Barbys'],Hombre
Alberto Mazarro,['Cine Basura: La película'],Hombre
Alberto Murroni,"['Plauto, recuerdo distorsionado de un tonto eventual']",Hombre
Alberto Múzquiz,['Sueños y pan'],Hombre
