Title,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañias,Coproduccion,Generos,Premios
La distancia,https://www.filmaffinity.com/es/film799849.html,Sí,4.4,248,2014,No se encontró información de reparto,Sergio Caballero,"Arcadia Motion Pictures, Sonar Advanced Music",Motion,"Intriga, Drama, Fantástico, Robos & Atracos, Cine experimental",2014: Festival de Sitges: Sección oficial largometrajes a concurso
"Yo me bajo en la próxima, ¿y usted?",https://www.filmaffinity.com/es/film855209.html,Sí,4.4,298,1992,"Concha Velasco, José Sacristán, Tina Sáinz, Ana Álvarez, Juan Jesús Valverde, María Isbert, Isabel Prinz, Alberto Bové",José Sacristán,"Ion Films, Sogetel","Films,Sogetel",Comedia,"1993: 1 Nominación al Goya: mejor guion adaptado, 1993: Premios Goya (España). 1 nominación"
La chica del trébol,https://www.filmaffinity.com/es/film425497.html,Sí,4.4,435,1964,"Rocío Durcal, Rafael Alonso, Marisa Merlini, Margherita Girelli, Ismael Merlo, Fabrizzio Moronni, José María Tasso, José Luis López Vázquez",Sergio Grieco,"Época Films S.A, Mondial Cineproduzione",España-Italia;Época,"Comedia, Romance, Comedia romántica",
Flores negras,https://www.filmaffinity.com/es/film534866.html,Sí,4.4,441,2009,"Tobias Moretti, Maximilian Schell, Eduard Fernández, Marta Etura, María Grazia Cucinotta, Gottfried John, Georg Friedrich, Robert Stadlober, Héctor Colomé, Belén Fabra, Tom Hanslmaier, Michael-Joachim Heiss, Antonia Jung, Pep Tosar",David Carreras,"Ovideo, Epo-Film Produktionsgesellschaft, Opal Filmproduktion","España-Alemania;Ovideo,Epo-Film","Thriller, Drama, Espionaje",2009: Festival de Málaga: Mejor maquillaje
"Yo, mi mujer y mi mujer muerta",https://www.filmaffinity.com/es/film804155.html,Sí,4.4,723,2019,"Oscar Martínez, Carlos Areces, Ingrid García Jonsson, Malena Solda, Cris Nollet, José Luís Adserías, Germán Baudino, Carolina Bassecourt, Jorge Booth",Santi Amodeo,"Grupo Tranquilo PC, AZ Films",España-Argentina;Grupo,"Comedia, Drama, Comedia dramática","2019: Festival de Málaga: Mejor actor (Oscar Martínez), 2019: Festival de Málaga. 1 premio. 2 nominaciones"
Cosa de brujas,https://www.filmaffinity.com/es/film147872.html,Sí,4.4,1406,2003,"José Sancho, Manuela Arcuri, Antonio Hortelano, Alberto San Juan, Manuel Manquiña, Pilar Bardem, Jorge Sanz, Lidia San José, Ágatha Fresco, Aitor Mazo, Valentín Paredes, Blanca Marsillach, Saturnino García",José Miguel Juárez,"Alma Ata, Taznia Media","Ata,Taznia",Intriga,2003: Premios Goya: Nominada a Mejor canción original
Bird Box Barcelona,https://www.filmaffinity.com/es/film429762.html,Sí,4.4,4214,2023,"Mario Casas, Georgina Campbell, Diego Calva, Alejandra Howard, Naila Schuberth, Patrick Criado, Celia Freijeiro, Lola Dueñas, Gonzalo de Castro, Michelle Jenner, Leonardo Sbaraglia, Manel Llunell, Gerard Oms",Àlex Pastor,"Nostromo Pictures, Dylan Clark Productions, Chris Morgan Productions, Netflix, Netflix","Pictures,Dylan","Terror, Ciencia ficción, Thriller, Pandemias, Futuro postapocalíptico, Thriller psicológico, Supervivencia, Sobrenatural",
Combustión,https://www.filmaffinity.com/es/film625667.html,Sí,4.4,4654,2013,"Álex González, Adriana Ugarte, Alberto Ammann, María Castro, Marta Nieto, Luis Zahera, Christian Mulas, Juan Pablo Shuk",Daniel Calparsoro,"Antena 3 Films, Canal+ España, La Sexta, Zeta Cinema",3,"Acción, Coches/Automovilismo",2013: Festival de Málaga: Sección oficial de largometrajes a concurso
El penalti más largo del mundo,https://www.filmaffinity.com/es/film789166.html,Sí,4.4,16827,2005,"Fernando Tejero, María Botto, Marta Larralde, Carlos Kaniowsky, Javier Gutiérrez, Enrique Villén, Fernando Cayo, Héctor Colomé, Luis Callejo, Cristina Alcázar, Benito Sagredo, Josean Bengoetxea, Adrián Portugal, Chani Martín",Roberto Santiago,"Tornasol Films, Ensueño Films","Films,Ensueño","Comedia, Deporte, Fútbol",2005: Premios Goya: Nominada a Mejor guión adaptado
Como matar a papá... sin hacerle daño,https://www.filmaffinity.com/es/film382935.html,Sí,4.4,137,1975,"Isabel Garcés, Andrés Pajares, Manolo Gómez Bur, Marisol Ayuso, Josele Román, Rosanna Yanni, Laly Soldevila, Tony Isbert, Julián Navarro, Mirta Miller",Ramón Fernández,P.E.F.S.A,No se encontró información de coproducción,Comedia,
Los violadores,https://www.filmaffinity.com/es/film578233.html,Sí,4.4,137,1981,"José Gras, Laura Prennica, Lali Espinet, Peter John Saunders, Brian Billings, Hank Sutter, Garry Membrini, Ana Roca, Diana Miller, Irene Semmling",Paul Grau,"Producciones Balcázar, Reflection Film",España-Suiza;Producciones,"Acción, Terror, Erótico, Crimen, Motos",
Continental,https://www.filmaffinity.com/es/film598867.html,Sí,4.4,137,1990,"Eusebio Poncela, Marisa Paredes, Féodor Atkine, Héctor Alterio, Jorge Sanz, Cristina Marcos, Fernando Guillén, Lola Baldrich, Nancho Novo, Alberto Alonso, Antón Reixa, Will More",Xavier Villaverde,"Televisión de Galicia (TVG), Xavier Villaverde Asociados",de,"Thriller, Años 50",1989: Premios Goya: Nominada a Mejor director novel
La ermita,https://www.filmaffinity.com/es/film492541.html,Sí,4.4,139,2023,"Belén Rueda, Maia Zaitegi, Laura Galán, Anastasia Russo, Loreto Mauleón, Jon Olivares, Josean Bengoetxea, Elena Irureta, Nagore Aranburu, Eric Probanza, Amets Otxoa, Gaizka Ugarte, Ane Pikaza, Iñaki Beraetxe, Ainhoa Aierbe, Belén Cruz",Carlota Pereda,"Filmax, Bixagu Entertainment",Entertainment,"Fantástico, Terror, Drama, Sobrenatural, Fantasmas, Vida rural",2023: Festival de Sitges: Sección oficial largometrajes (fuera de concurso)
